steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
299170,Vault Cracker,game,4.99,2014-05-15,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299170/header.jpg?t=1447361722
299180,Millionaire Manor,game,4.99,2014-05-15,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299180/header.jpg?t=1447361723
299250,European Ship Simulator,game,19.99,2016-11-04,,438.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299250/header.jpg?t=1480518578
299260,Commando Jack,game,9.99,2014-08-22,,389.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299260/header.jpg?t=1456962454
299340,Habitat,game,14.99,2016-01-26,,186.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/299340/header.jpg?t=1478030273
299360,Block N Load,game,0.0,2015-04-30,72.0,9980.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299360/header.jpg?t=1478106757
299380,Masquerade: The Baubles of Doom,game,14.99,2016-04-20,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299380/header.jpg?t=1463127005
299420,CubeGun,game,0.0,2014-05-21,,249.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299420/header.jpg?t=1449570595
299440,Rooks Keep,game,7.99,2014-12-05,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299440/header.jpg?t=1478082869
299460,Woodle Tree Adventures,game,2.99,2016-03-02,,5106.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/299460/header.jpg?t=1481619923
299480,Rogue Stormers,game,19.99,2016-04-21,68.0,418.0,1.0,0.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/299480/header.jpg?t=1478163981
299500,International Snooker,game,12.99,2014-05-30,,267.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299500/header.jpg?t=1447361750
299540,Heroes Rise: The Prodigy,game,2.99,2014-06-17,,318.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/299540/header.jpg?t=1447361750
299580,Abducted,game,4.99,2015-07-28,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299580/header.jpg?t=1481515338
299600,Dragon Fin Soup,game,19.99,2015-11-03,,210.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299600/header.jpg?t=1465582321
299660,6180 the moon,game,3.99,2014-09-19,,370.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/299660/header.jpg?t=1478143034
299680,Tengami,game,9.99,2015-01-15,57.0,954.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299680/header.jpg?t=1447361755
299720,Terrorhedron,game,1.99,2014-07-24,,920.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299720/header.jpg?t=1479290221
299740,Miscreated,game,19.99,2014-10-30,,12149.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299740/header.jpg?t=1473261483
299780,Noir Syndrome,game,6.99,2014-06-04,,155.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/299780/header.jpg?t=1455406808
299800,The Land of Eyas,game,9.99,2016-07-21,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299800/header.jpg?t=1478093156
299820,Paradigm Shift,game,1.99,2014-05-19,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299820/header.jpg?t=1447361759
299840,Metal Planet,game,5.99,2014-06-04,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299840/header.jpg?t=1447361760
299910,Forgotten Myths CCG,game,0.0,2016-03-21,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/299910/header.jpg?t=1459032970
299950,Get Even,game,,2016-09-01,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299950/header.jpg?t=1479380777
300040,Divine Souls F2P MMO,game,0.0,2014-08-15,,862.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/300040/header.jpg?t=1447361763
300060,ADR1FT,game,19.99,2016-03-28,64.0,877.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/300060/header.jpg?t=1467226033
300080,Total War Battles: KINGDOM,game,0.0,2015-04-09,,2875.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/300080/header.jpg?t=1468940498
